963, 786, 990, 1010
963, 990, 1116, 1432
963, 937, 786, 990
963, 937, 1116, 990
786, 355, 937, 990
326, 85, 86, 378
326, 86, 378, 97
326, 97, 358, 378
358, 84, 97, 378
378, 84, 85, 97
378, 86, 85, 97
756, 623, 652, 824
756, 652, 789, 824
355, 249, 283, 488
355, 283, 292, 488
488, 249, 278, 283
488, 278, 283, 292
1534, 1475, 1561, 1718
1534, 1238, 1475, 1561
1561, 1475, 1718, 1786
1534, 1475, 1590, 1718
1534, 1238, 1284, 1475
1534, 1284, 1475, 1590
1101, 1110, 1061, 1226
1101, 740, 1110, 1226
830, 786, 834, 1010
830, 355, 786, 834
830, 834, 857, 1010
830, 355, 834, 857
786, 834, 990, 1010
786, 355, 834, 990
452, 350, 399, 549
399, 114, 350, 549
1022, 1155, 1301, 1028
1429, 1145, 1279, 1522
1403, 1219, 1498, 1260
1403, 1260, 1424, 1498
1498, 1701, 1752, 1826
1407, 1501, 1689, 1795
1501, 1642, 1646, 1795
1501, 1646, 1658, 1795
1501, 1658, 1689, 1795
1048, 789, 824, 949
1048, 824, 949, 1082
824, 740, 949, 1082
789, 652, 824, 949
1535, 1679, 1490, 1633
1535, 1679, 1490, 1693
1535, 1490, 1537, 1693
1535, 1048, 1490, 1537
1535, 1370, 1490, 1633
1535, 1048, 1370, 1490
1048, 1082, 1107, 1271
1048, 789, 1107, 949
1048, 949, 1082, 1107
369, 571, 422, 491
1491, 1603, 1721, 1839
1498, 1603, 1701, 1826
1603, 1701, 1826, 1864
1603, 1721, 1839, 1864
1603, 1826, 1839, 1864
326, 357, 358, 559
326, 357, 559, 613
326, 357, 358, 378
378, 84, 85, 357
1590, 1544, 1599, 1815
1599, 1544, 1742, 1815
1599, 1742, 1797, 1815
778, 1109, 714, 767
1279, 1145, 1385, 1522
596, 156, 182, 630
596, 156, 182, 497
497, 152, 156, 182
182, 152, 156, 160
596, 156, 630, 661
596, 156, 497, 661
156, 125, 134, 148
156, 134, 148, 165
156, 134, 152, 160
1226, 740, 1126, 1082
1063, 790, 885, 1003
1022, 885, 1028, 1155
1048, 789, 854, 985
1048, 854, 985, 1171
1048, 789, 1107, 985
1048, 985, 1107, 1171
789, 1107, 949, 985
789, 859, 652, 949
789, 859, 652, 985
789, 859, 949, 985
1048, 1263, 1537, 1271
1048, 1107, 1263, 1271
1048, 1107, 1171, 1263
1177, 1048, 1345, 1158
1048, 1345, 1158, 1370
1177, 1147, 1158, 1345
1147, 1120, 901, 1158
1523, 1279, 1312, 1522
1523, 1407, 1522, 1312
1407, 1522, 1312, 1645
1279, 1312, 1385, 1522
669, 798, 1066, 1194
669, 798, 898, 1066
669, 598, 798, 878
1491, 1532, 1721, 1550
1532, 1721, 1416, 1550
1491, 1301, 1532, 1550
1491, 1301, 1424, 1550
1491, 1550, 1603, 1721
1491, 1424, 1550, 1603
1603, 1550, 1701, 1864
1603, 1550, 1721, 1864
1550, 1416, 1721, 1737
1550, 1701, 1737, 1864
1550, 1721, 1737, 1864
1394, 1310, 1522, 1544
1394, 1310, 1429, 1522
1522, 1310, 1385, 1145
1032, 661, 1062, 1134
406, 188, 209, 218
406, 209, 218, 223
790, 885, 1003, 1004
1100, 661, 909, 1003
1257, 1335, 1269, 1376
1269, 1335, 1376, 1545
1257, 1253, 1269, 1335
1257, 1253, 1376, 1335
983, 1253, 1376, 1335
983, 1134, 1335, 1376
698, 720, 789, 854
698, 544, 720, 789
789, 544, 652, 720
698, 544, 549, 720
789, 720, 854, 985
789, 652, 720, 985
1226, 1082, 1154, 1271
1226, 1154, 1271, 1439
1271, 1082, 1107, 1154
1082, 949, 1107, 1154
1226, 1082, 1126, 1154
422, 201, 229, 504
422, 201, 491, 504
422, 491, 504, 571
504, 201, 208, 229
399, 108, 114, 390
399, 390, 559, 697
630, 699, 790, 1003
630, 661, 699, 1003
630, 571, 699, 790
630, 156, 661, 699
790, 699, 1003, 1004
1003, 661, 699, 909
1003, 699, 909, 1004
368, 379, 497, 661
497, 156, 379, 661
156, 125, 134, 379
379, 102, 117, 134
379, 117, 125, 134
1010, 857, 1039, 1160
1010, 834, 857, 1160
1022, 1306, 1513, 1532
1532, 1306, 1416, 1513
1022, 1301, 1306, 1532
1022, 1155, 1301, 1306
1301, 1155, 1028, 1306
1532, 1306, 1416, 1550
1532, 1301, 1306, 1550
1599, 1458, 1544, 1742
1310, 1458, 1544, 1742
669, 1133, 878, 1194
669, 1133, 798, 1194
669, 1133, 798, 878
473, 46, 69, 481
1648, 1581, 1635, 1814
1648, 1581, 1762, 1814
1648, 1897, 1720, 1762
1648, 1897, 1720, 1814
1648, 1897, 1762, 1814
661, 156, 379, 603
473, 46, 481, 665
588, 589, 355, 386
588, 589, 355, 564
588, 589, 386, 564
669, 685, 704, 898
669, 704, 798, 898
1530, 1370, 1508, 1642
1370, 1508, 1633, 1642
1530, 1345, 1419, 1508
1530, 1345, 1370, 1508
1419, 1147, 1345, 1508
1530, 1501, 1508, 1642
1530, 1419, 1501, 1508
1419, 1147, 1501, 1508
1501, 1508, 1642, 1646
1508, 1633, 1642, 1819
1508, 1642, 1646, 1819
1508, 1756, 1633, 1819
1508, 1646, 1756, 1819
1524, 1477, 1554, 1581
1554, 1477, 1581, 1670
1524, 1269, 1477, 1554
1524, 1477, 1545, 1581
1524, 1269, 1477, 1545
1269, 1335, 1477, 1545
1477, 1581, 1670, 1791
1477, 1581, 1762, 1828
1477, 1581, 1791, 1828
1537, 1414, 1595, 1693
1537, 1271, 1414, 1595
1048, 1414, 1490, 1537
1537, 1414, 1490, 1693
